Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,MI,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,MN,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,MO,30
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,NE,31
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,ND,29
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,OH,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,SD,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,TX,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2007,WI,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,IL,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,IA,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,KS,25
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,MI,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,MN,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,MO,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,NE,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,ND,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,OH,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,SD,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,TX,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2008,WI,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,IL,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,IA,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,KS,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,MI,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,MN,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,MO,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,NE,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,ND,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,OH,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,SD,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,TX,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2009,WI,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,IL,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,IA,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,KS,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,MI,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,MN,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,MO,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,NE,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,ND,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,OH,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,SD,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,TX,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2010,WI,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,IL,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,IN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,IA,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,KS,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,MI,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,MN,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,MO,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,NE,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,ND,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,OH,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,SD,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,TX,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2011,WI,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,IL,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,IN,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,IA,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,KS,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,MI,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,MN,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,MO,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,NE,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,ND,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,OH,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,SD,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,TX,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2012,WI,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,IL,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,IN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,IA,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,KS,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,MI,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,MN,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,MO,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,NE,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,ND,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,OH,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,SD,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,TX,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2013,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,IL,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,IN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,IA,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,KS,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,MI,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,MN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,MO,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,NE,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,ND,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,OH,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,SD,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,TX,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2014,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,IL,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,IN,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,IA,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,KS,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,MI,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,MN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,MO,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,NE,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,ND,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,OH,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,SD,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,TX,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2015,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,IL,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,IN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,IA,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,KS,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,MI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,MN,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,MO,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,NE,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,ND,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,OH,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,SD,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,TX,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2016,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,IL,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,IN,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,IA,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,KS,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,MI,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,MN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,MO,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,NE,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,ND,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,OH,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,SD,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,TX,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2017,WI,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,IL,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,IN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,IA,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,KS,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,MI,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,MN,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,MO,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,NE,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,ND,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,OH,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,SD,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,TX,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2018,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,IL,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,IN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,IA,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,KS,1
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,MI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,MN,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,MO,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,NE,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,ND,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,OH,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,SD,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,TX,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2019,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,IL,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,IN,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,IA,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,KS,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,MI,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,MN,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,MO,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,NE,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,ND,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,OH,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,SD,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,TX,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only,2020,WI,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,IL,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,IN,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,IA,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,KS,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,MI,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,MN,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,MO,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,NE,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,OH,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,SD,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2000,WI,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2001,IL,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2001,IN,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2001,IA,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2001,KS,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Herbicide-tolerant only,2001,MI,7
